Tahun,Bulan,Kode_Wilayah,Wilayah,CPPD_Ton
2025,31 Januari 2025,11,Aceh,"191,10"
2025,31 Januari 2025,12,Sumatera Utara,"57,27"
2025,31 Januari 2025,13,Sumatera Barat,"119,34"
2025,31 Januari 2025,14,Riau,"85,10"
2025,31 Januari 2025,15,Jambi,"66,14"
2025,31 Januari 2025,16,Sumatera Selatan,"0,00"
2025,31 Januari 2025,17,Bengkulu,"84,15"
2025,31 Januari 2025,18,Lampung,"85,23"
2025,31 Januari 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,31 Januari 2025,21,Kepulauan Riau,"40,93"
2025,31 Januari 2025,31,DKI Jakarta,"0,00"
2025,31 Januari 2025,32,Jawa Barat,"2529,51"
2025,31 Januari 2025,33,Jawa Tengah,"163,45"
2025,31 Januari 2025,34,DI Yogyakarta,"305,30"
2025,31 Januari 2025,35,Jawa Timur,"135,69"
2025,31 Januari 2025,36,Banten,"443,52"
2025,31 Januari 2025,51,Bali,"404,00"
2025,31 Januari 2025,52,Nusa Tenggara Barat,"104,40"
2025,31 Januari 2025,53,Nusa Tenggara Timur,"31,51"
2025,31 Januari 2025,61,Kalimantan Barat,"231,04"
2025,31 Januari 2025,62,Kalimantan Tengah,"156,12"
2025,31 Januari 2025,63,Kalimantan Selatan,"349,43"
2025,31 Januari 2025,64,Kalimantan Timur,"506,32"
2025,31 Januari 2025,65,Kalimantan Utara,"83,08"
2025,31 Januari 2025,71,Sulawesi Utara,"215,54"
2025,31 Januari 2025,72,Sulawesi Tengah,"321,40"
2025,31 Januari 2025,73,Sulawesi Selatan,"109,37"
2025,31 Januari 2025,74,Sulawesi Tenggara,"192,16"
2025,31 Januari 2025,75,Gorontalo,"0,00"
2025,31 Januari 2025,76,Sulawesi Barat,"89,57"
2025,31 Januari 2025,81,Maluku,"87,92"
2025,31 Januari 2025,82,Maluku Utara,"0,00"
2025,31 Januari 2025,92,Papua Barat,"11,80"
2025,31 Januari 2025,91,Papua,"27,46"
2025,31 Januari 2025,94,Papua Tengah,"0,00"
2025,31 Januari 2025,95,Papua Pegunungan,"0,00"
2025,31 Januari 2025,93,Papua Selatan,"0,00"
2025,31 Januari 2025,96,Papua Barat Daya,"0,00"
2025,28 Februari 2025,11,Aceh,"187,10"
2025,28 Februari 2025,12,Sumatera Utara,"56,18"
2025,28 Februari 2025,13,Sumatera Barat,"116,66"
2025,28 Februari 2025,14,Riau,"85,10"
2025,28 Februari 2025,15,Jambi,"66,14"
2025,28 Februari 2025,16,Sumatera Selatan,"0,00"
2025,28 Februari 2025,17,Bengkulu,"83,40"
2025,28 Februari 2025,18,Lampung,"85,23"
2025,28 Februari 2025,19,Kepulauan Bangka Belitung,"64,02"
2025,28 Februari 2025,21,Kepulauan Riau,"40,93"
2025,28 Februari 2025,31,DKI Jakarta,"0,00"
2025,28 Februari 2025,32,Jawa Barat,"2413,90"
2025,28 Februari 2025,33,Jawa Tengah,"126,30"
2025,28 Februari 2025,34,DI Yogyakarta,"305,30"
2025,28 Februari 2025,35,Jawa Timur,"135,69"
2025,28 Februari 2025,36,Banten,"443,52"
2025,28 Februari 2025,51,Bali,"395,69"
2025,28 Februari 2025,52,Nusa Tenggara Barat,"97,40"
2025,28 Februari 2025,53,Nusa Tenggara Timur,"28,01"
2025,28 Februari 2025,61,Kalimantan Barat,"251,77"
2025,28 Februari 2025,62,Kalimantan Tengah,"152,91"
2025,28 Februari 2025,63,Kalimantan Selatan,"344,43"
2025,28 Februari 2025,64,Kalimantan Timur,"506,32"
2025,28 Februari 2025,65,Kalimantan Utara,"82,73"
2025,28 Februari 2025,71,Sulawesi Utara,"200,70"
2025,28 Februari 2025,72,Sulawesi Tengah,"314,79"
2025,28 Februari 2025,73,Sulawesi Selatan,"109,37"
2025,28 Februari 2025,74,Sulawesi Tenggara,"192,16"
2025,28 Februari 2025,75,Gorontalo,"0,00"
2025,28 Februari 2025,76,Sulawesi Barat,"89,57"
2025,28 Februari 2025,81,Maluku,"86,11"
