Tahun,Bulan,Provinsi,Kode_Provinsi,Kab_Kota,Kode_Kab_Kota,Jumlah_Pelaksanaan_Gerakan_Pangan_Murah
2026,Januari,Aceh,11,Kabupaten Aceh Barat,1105,2
2026,Januari,Bali,51,Kabupaten Buleleng,5108,4
2026,Januari,Bengkulu,17,Kota Bengkulu,1771,14
2026,Januari,DI Yogyakarta,34,Kabupaten Sleman,3404,1
2026,Januari,DI Yogyakarta,34,Kota Yogyakarta,3471,2
2026,Januari,Jawa Barat,32,Kabupaten Bandung,3204,3
2026,Januari,Jawa Barat,32,Kabupaten Bogor,3201,1
2026,Januari,Jawa Barat,32,Kabupaten Pangandaran,3218,1
2026,Januari,Jawa Barat,32,Kota Bandung,3273,2
2026,Januari,Jawa Barat,32,Kota Bogor,3271,1
2026,Januari,Jawa Tengah,33,Kabupaten Banjarnegara,3304,1
2026,Januari,Jawa Tengah,33,Kabupaten Brebes,3329,2
2026,Januari,Jawa Tengah,33,Kabupaten Cilacap,3301,1
2026,Januari,Jawa Tengah,33,Kabupaten Kebumen,3305,51
2026,Januari,Jawa Tengah,33,Kabupaten Kendal,3324,1
2026,Januari,Jawa Tengah,33,Kabupaten Ngawi,3521,2
2026,Januari,Jawa Tengah,33,Kabupaten Pati,3318,1
2026,Januari,Jawa Tengah,33,Kabupaten Pemalang,3327,6
2026,Januari,Jawa Tengah,33,Kabupaten Purbalingga,3303,6
2026,Januari,Jawa Tengah,33,Kota Semarang,3374,18
2026,Januari,Jawa Timur,35,Kabupaten Sampang,3527,2
2026,Januari,Jawa Timur,35,Kabupaten Tuban,3523,12
2026,Januari,Jawa Timur,35,Kota Malang,3573,1
2026,Januari,Kalimantan Barat,61,Kota Pontianak,6171,1
2026,Januari,Kalimantan Selatan,63,Kabupaten Tanah Bumbu,6310,2
2026,Januari,Kalimantan Tengah,62,Kabupaten Kotawaringin Timur,6202,7
2026,Januari,Kalimantan Tengah,62,Kabupaten Sukamara,6208,2
2026,Januari,Kalimantan Timur,64,Kota Balikpapan,6471,12
2026,Januari,Kepulauan Bangka Belitung,19,Kota Pangkal Pinang,1971,2
2026,Januari,Lampung,18,Kabupaten Pesisir Barat,1813,2
2026,Januari,Lampung,18,Kota Metro,1872,2
2026,Januari,Maluku,81,Kabupaten Maluku Tengah,8101,6
2026,Januari,Nusa Tenggara Barat,52,Kota Bima,5272,1
2026,Januari,Nusa Tenggara Timur,53,Kabupaten Manggarai Timur,5319,1
2026,Januari,Papua Selatan,93,Kabupaten Merauke,9301,3
2026,Januari,Papua Tengah,94,Kabupaten Nabire,9401,1
2026,Januari,Sulawesi Barat,76,Kabupaten Mamuju,7602,3
2026,Januari,Sulawesi Selatan,73,Kabupaten Bantaeng,7303,2
2026,Januari,Sulawesi Selatan,73,Kabupaten Bone,7308,4
2026,Januari,Sulawesi Selatan,73,Kabupaten Enrekang,7316,4
2026,Januari,Sulawesi Selatan,73,Kabupaten Gowa,7306,2
2026,Januari,Sulawesi Selatan,73,Kabupaten Jeneponto,7304,1
2026,Januari,Sulawesi Selatan,73,Kabupaten Kepulauan Selayar,7301,2
2026,Januari,Sulawesi Selatan,73,Kabupaten Luwu,7317,1
2026,Januari,Sulawesi Selatan,73,Kabupaten Luwu Utara,7322,1
2026,Januari,Sulawesi Selatan,73,Kabupaten Maros,7309,1
2026,Januari,Sulawesi Selatan,73,Kabupaten Pangkajene dan Kepulauan,7310,2
2026,Januari,Sulawesi Selatan,73,Kabupaten Sidenreng Rappang,7314,22
2026,Januari,Sulawesi Selatan,73,Kabupaten Soppeng,7312,4
2026,Januari,Sulawesi Selatan,73,Kabupaten Toraja Utara,7326,1
2026,Januari,Sulawesi Selatan,73,Kabupaten Wajo,7313,2
2026,Januari,Sulawesi Selatan,73,Kota Makassar,7371,9
2026,Januari,Sulawesi Selatan,73,Kota Palopo,7373,4
2026,Januari,Sulawesi Selatan,73,Kota Parepare,7372,2
2026,Januari,Sulawesi Tengah,72,Kabupaten Sigi,7210,2
2026,Januari,Sulawesi Tenggara,74,Kabupaten Kolaka Timur,7411,4
2026,Januari,Sulawesi Tenggara,74,Kota Kendari,7471,13
2026,Januari,Sulawesi Utara,71,Kabupaten Bolaang Mongondow,7101,2
2026,Januari,Sumatera Selatan,16,Kabupaten Lahat,1604,1
2026,Januari,Sumatera Selatan,16,Kabupaten Muara Enim,1603,1
2026,Januari,Sumatera Selatan,16,Kota Prabumulih,1674,1
2026,Januari,Sumatera Utara,12,Kabupaten Deli Serdang,1207,55
2026,Januari,Sumatera Utara,12,Kabupaten Tapanuli Utara,1202,4
